zipcode,lat,lon,CallerNum_count
37130,47.33704255,0.374548468,1119
37013,36.0452344,-86.6638576,966
37207,36.2327869,-86.7503436,934
37211,36.0513595,-86.7198914,787
37115,41.0884719,-5.88967258,751
37311,48.93320002,14.62044452,680
37129,45.44234293,11.00562222,677
38127,35.22270971,-90.00547537,672
37323,35.11562283,-84.83569676,660
37167,35.9604818,-86.52391827,627
38109,28.4013608,-16.32134442,589
37620,36.591844,-82.178121,567
37660,36.02151559,129.3371477,545
37203,36.1381127,-86.7632389,480
37208,36.1919766,-86.8098676,460
38116,35.0649376,-90.0283684,455
37160,46.97879615,0.713788272,435
37601,36.3494748,-82.333395,428
37217,36.1283217,-86.7131941,419
37206,36.18253266,-86.74164298,417
38128,35.22313315,-89.92812127,415
37128,45.45666481,10.99971215,410
38104,35.1450266,-90.0521571,404
37086,36.0040736,-86.57087423,400
37087,36.23495746,-86.30984547,392
37664,36.52511471,-82.5027647,384
37042,36.5562925,-87.4247588,377
37209,40.85688304,-6.25030986,347
37312,48.90114545,14.66648339,341
37066,45.40342682,10.84125824,329
37214,51.33589815,9.909710637,319
38111,35.84836414,129.2277128,304
37138,36.262703,-86.6478508,303
37072,36.176753,-86.7711535,300
38118,35.0076179,-89.9033257,295
37210,47.4377007,0.797269,286
38115,35.0453268,-89.88039508,283
37076,36.18261658,-86.59889371,280
37218,51.37745,9.8079156,276
37221,36.0774048,-86.8922197,274
38122,52.21187685,10.50202721,252
37205,36.0947393,-86.913214,247
38125,35.80881467,129.5030105,245
38114,35.0847836,-89.9872144,244
37216,36.1989886,-86.72668,239
37659,36.02970195,129.3340393,239
37127,51.43582405,9.8152019,236
37122,45.43524259,10.98935009,235
37604,36.07130885,129.3910028,233
37862,35.81440826,-83.58107363,230
37618,36.47321565,-82.2663293,229
37643,36.3448703,-82.2085806,228
38401,49.00616962,14.0547923,228
38107,28.4389661,-16.3136489,227
37642,36.06251013,129.3500802,221
38106,35.1208432,-90.0676478,217
37064,45.34793605,10.88283586,216
37857,36.40475556,-83.00082669,214
37075,51.54600099,9.954306962,208
38018,35.99291319,129.2119565,200
38108,52.3108256,10.5504351,197
37091,35.47009563,-86.77970884,175
37917,35.9838151,-83.9238974,165
37920,35.9218169,-83.9564873,162
37912,36.00464205,-83.98036697,161
37015,45.52746974,10.83406641,159
38141,45.5226884,5.2579384,158
37148,56.21195659,15.63185446,158
37683,36.0189889,129.343307,156
37665,36.57965648,-82.57336693,155
38112,52.3033089,10.485945,154
38134,35.1929135,-89.8915236,151
37617,36.5333298,-82.3147326,148
38501,49.05036435,13.76688117,146
37918,36.05075647,-83.92507828,145
37040,36.53867395,-87.351492,141
38016,46.21387032,11.12070202,140
37212,36.1389922,-86.7893517,139
37801,35.71785577,-84.04012333,138
37388,35.35310177,-86.22180313,137
38464,35.4238401,-87.4195401,134
38053,35.1977704,-89.924783,133
37110,35.7006958,-85.7879881,132
37663,36.4782682,-82.5040336,132
37743,36.09860775,-82.92665206,131
37334,35.1527308,-86.5732912,131
38135,35.8508014,129.2073439,130
37055,45.3369657,11.2429163,129
37172,36.5070515,-86.7414593,125
37190,35.8255645,-86.0562382,125
38462,35.628812,-87.5702263,124
37027,35.9657286,-86.8159874,124
38017,28.44276515,-16.3105015,122
37919,35.92223812,-84.00587037,121
37204,36.0940163,-86.7868957,120
37876,35.9472114,-83.6760005,119
37914,35.99200188,-83.84925993,117
37615,36.4047778,-82.44770169,114
38506,36.2221192,-85.4618971,111
37355,51.3718529,10.4271889,104
38117,35.1156879,-89.8933472,103
37821,49.20900951,14.86315828,103
37228,36.19186022,-86.80390725,102
37921,35.9802157,-83.9562969,100
38133,35.20627684,-89.80759906,98
38105,35.1589307,-90.0452058,97
37745,36.1775873,-82.7888017,97
38138,45.4594325,4.883049259,97
37174,47.32462725,0.706508668,92
38002,35.3607953,-89.6718405,89
